eggID,bd_liz_id,clutch,egg_encl_ID,species,trt,temp,hormone,hatch_date_dmy,season,date_egg_laid_dmy,Julian_lay,days_to_hatch,Julian_hatch_date,egg_mass,egg_length_mm,egg_width_mm,hatch_mass_orig,hatch_svl_orig_mm,hatch_tail_orig_mm,juv1_measure_date_dmy,juv1_measure_SVL_mm,juv1_measure_tail_mm,juv1_measure_mass_g,Liz_ID,juv2_measure_date_dmy,juv2_measure_SVL_mm,juv2_measure_tail_mm,juv2_measure_mass_g,person_juv2,Lizard_ID,liz_status_db,mortality_date_dmy,bd_totl_orig,notes_juv1,notes_juv2,notes_db
EG784_21,LD784_21,CL221_21,E018_M,delicata,C_28_Topical,28,control,6/2/2022,2021/22,7/1/2022,7,30,37,0.134,7.99,5.62,0.135,18,27,3/6/2022,29.5,44.5,0.525,LD784_21,10/8/2022,36,61,0.719,DCL,LD784_21,ALIVE,NA,,,,
EG800_21,LD800_21,CL227_21,E009_M,delicata,C_28_Topical,28,control,6/2/2022,2021/22,7/1/2022,7,30,37,0.157,8.32,5.98,0.136,18,25,3/6/2022,32,44,0.524,LD800_21,10/8/2022,35,55,0.682,DCL,LD800_21,ALIVE,NA,,,,
EG780_21,LD780_21,CL221_21,E018_M,delicata,CORT_28_10pg_Topical,28,high,6/2/2022,2021/22,7/1/2022,7,30,37,0.131,8.12,5.5,0.123,18,26,3/6/2022,30,43,0.537,LD780_21,10/8/2022,32,47,0.708,PR,LD780_21,ALIVE,NA,,,,
EG792_21,LD792_21,CL224_21,E019_F120,delicata,CORT_28_10pg_Topical,28,high,6/2/2022,2021/22,7/1/2022,7,30,37,0.126,8.3,5.58,0.113,17,24,3/6/2022,28,36,0.364,LD792_21,10/8/2022,32,43,0.532,PR,LD792_21,ALIVE,NA,,,,
EG798_21,LD798_21,CL226_21,E030_M,delicata,CORT_28_10pg_Topical,28,high,6/2/2022,2021/22,7/1/2022,7,30,37,0.14,7.03,5.92,0.12,18,23,3/6/2022,27.5,39,0.4,LD798_21,10/8/2022,32,47,0.585,DCL,LD798_21,ALIVE,NA,,,,
EG811_21,LD811_21,CL230_21,E019_F120,delicata,CORT_28_10pg_Topical,28,high,6/2/2022,2021/22,10/1/2022,10,27,37,0.163,7.8,6.18,0.107,17,22,3/6/2022,29.5,40,0.462,LD811_21,10/8/2022,31,42,0.546,PR,LD811_21,ALIVE,NA,,,,
EG785_21,LD785_21,CL222_21,E031_M,delicata,C_28_Topical,28,control,7/2/2022,2021/22,7/1/2022,7,31,38,0.166,8.57,6.04,0.153,18,27,3/6/2022,30.5,42,0.565,LD785_21,10/8/2022,33,51,0.726,DCL,LD785_21,ALIVE,NA,,,,
EG803_21,LD803_21,CL228_21,E029_F120,delicata,C_28_Topical,28,control,7/2/2022,2021/22,10/1/2022,10,28,38,0.149,7.82,6.15,0.096,17,21,3/6/2022,29.5,44,0.442,LD803_21,10/8/2022,31,46,0.677,PR,LD803_21,ALIVE,NA,,,,
EG825_21,LD825_21,CL233_21,E016_M,delicata,C_28_Topical,28,control,7/2/2022,2021/22,10/1/2022,10,28,38,0.148,7.6,6.3,0.099,16,23,3/6/2022,28,41,0.436,LD825_21,10/8/2022,32,53,0.619,DCL,LD825_21,ALIVE,NA,,,,
EG829_21,LD829_21,CL233_21,E016_M,delicata,CORT_28_10pg_Topical,28,high,7/2/2022,2021/22,10/1/2022,10,28,38,0.15,7.54,6.09,0.101,17,21,3/6/2022,28,44,0.451,LD829_21,10/8/2022,32,50,0.656,DCL,LD829_21,ALIVE,NA,,,,
EG827_21,LD827_21,CL233_21,E016_M,delicata,CORT_28_5pg_Topical,28,low,8/2/2022,2021/22,10/1/2022,10,29,39,0.155,7.37,6.2,0.095,17,22,3/6/2022,28,38.5,0.391,LD827_21,10/8/2022,30,42,0.568,DCL,LD827_21,ALIVE,NA,,,,
EG819_21,LD819_21,CL232_21,E021_M,delicata,CORT_28_10pg_Topical,28,high,9/2/2022,2021/22,10/1/2022,10,30,40,0.153,8.69,5.66,0.13,18,25,3/6/2022,29,38,0.425,LD819_21,10/8/2022,31,42,0.588,PR,LD819_21,ALIVE,NA,,,,
EG837_21,LD837_21,CL236_21,E007_F120,delicata,CORT_28_10pg_Topical,28,high,9/2/2022,2021/22,10/1/2022,10,30,40,0.176,9.35,6.02,0.131,17.5,25,3/6/2022,27,36,0.352,LD837_21,10/8/2022,27,38,0.42,PR,LD837_21,ALIVE,NA,,,,
EG820_21,LD820_21,CL232_21,E021_M,delicata,CORT_28_5pg_Topical,28,low,9/2/2022,2021/22,10/1/2022,10,30,40,0.143,8.44,5.79,0.133,17,24,3/6/2022,30,44,0.504,LD820_21,10/8/2022,33,48,0.756,PR,LD820_21,ALIVE,NA,,,,
EG823_21,LD823_21,CL232_21,E021_M,delicata,C_28_Topical,28,control,10/2/2022,2021/22,10/1/2022,10,31,41,0.148,8.28,5.8,0.126,18,22,3/6/2022,31,45,0.535,LD823_21,10/8/2022,32,47,0.726,PR,LD823_21,ALIVE,NA,,,,
