eggID,bd_liz_id,clutch,egg_encl_ID,species,trt,temp,hormone,mortality_db,liz_status_db,hatch_date_ymd,mortality_date_dmy,season,date_egg_laid_.day.m.year..,Julian_lay,days_to_hatch,Julian_hatch_date,Julian_remeasured,days_posthatch,egg_mass,egg_length_mm,egg_width_mm,bd_mass_orig,bd_svl_orig_mm,bd_tail_orig_mm,bd_totl_orig,remeasure_date,remeasure_SVL,remeasure_tail,remeasure_mass,re_measure_notes,bd_liz_id.1,measure_date_juv2,measure_SVL_juv2,measure_tail_juv2,measure_mass_juv2,measure_notes_juv2,person_juv2,notes_juv2,notes_db
EG730_21,LD730_21,CL211_21,E018_M,delicata,CORT_23_10pg_Topical,23,high,1,ALIVE,22/2/21,,2021/22,1/1/22,1,51,52,154,102,0.162,8.29,6.38,0.128,17,25,,3/6/22,2.8,3.85,0.447,,LD730_21,10/8/22,3.2,4.5,0.538,dropped tail after measurement,DCL,,
EG739_21,LD739_21,CL212_21,E025_M,delicata,CORT_23_10pg_Topical,23,high,1,ALIVE,22/2/18,,2021/22,1/1/22,1,48,49,154,105,0.175,8.28,6.42,0.13,16,24,,3/6/22,3.35,5.1,0.674,,LD739_21,10/8/22,3.6,5.9,0.927,,,,
EG748_21,LD748_21,CL215_21,E017_M,delicata,CORT_23_10pg_Topical,23,high,1,ALIVE,22/2/23,,2021/22,1/1/22,1,53,54,154,100,0.157,8,6.37,0.136,19,24,,3/6/22,2.95,4.3,0.458,,LD748_21,10/8/22,3.2,4.1,0.641,,DCL,,
EG723_21,LD723_21,CL209_21,E004_F120,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/21,,2021/22,1/1/22,1,51,52,154,102,0.118,8.47,5.46,0.139,19,25,,3/6/22,3.15,4.5,0.505,tail fell off,LD723_21,10/8/22,3.5,4.6,0.723,,DCL,"egg litle dehydrated, but fine","egg litle dehydrated, but fine"
EG729_21,LD729_21,CL210_21,E001_F120,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/24,,2021/22,1/1/22,1,54,55,154,99,0.126,7.98,5.42,0.114,18,24,,3/6/22,2.85,4.1,0.389,,LD729_21,10/8/22,2.8,4,0.448,,PR,,
EG731_21,LD731_21,CL211_21,E018_M,delicata,CORT_23_5pg_Topical,23,low,0,MISSING,22/2/21,,2021/22,1/1/22,1,51,52,154,102,0.155,8.43,6.17,0.131,18,26,,,NA,NA,NA,,LD731_21,,NA,NA,NA,,,Lizard missing 23 Mar 22,Lizard missing 23 Mar 22
EG738_21,LD738_21,CL212_21,E025_M,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/21,,2021/22,1/1/22,1,51,52,154,102,0.165,8.48,6.56,0.137,18,27,,3/6/22,2.95,4.4,0.469,,LD738_21,,NA,NA,NA,,,,
EG747_21,LD747_21,CL214_21,E007_F120,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/24,,2021/22,1/1/22,1,54,55,154,99,0.115,8.83,5.21,0.131,17,23,,3/6/22,3.05,4.5,0.518,,LD747_21,10/8/22,3.3,4.9,0.778,,PR,,
EG753_21,LD753_21,CL216_21,E014_M,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/20,,2021/22,1/1/22,1,50,51,154,103,0.165,9.29,6.18,0.134,18,28,,3/6/22,3,4.4,0.486,,LD753_21,10/8/22,3.2,5.3,0.656,,DCL,,
EG733_21,LD733_21,CL211_21,E018_M,delicata,CORT_28_10pg_Topical,28,high,1,ALIVE,22/2/02,,2021/22,1/1/22,1,32,33,154,121,0.156,8.66,6.21,0.129,18,25,,3/6/22,2.95,3.6,0.435,,LD733_21,10/8/22,3.3,4.2,0.532,missing tail tip,DCL,,
EG745_21,,CL214_21,E007_F120,delicata,CORT_28_10pg_Topical,28,high,NA,NA,NA,,2021/22,1/1/22,1,NA,NA,NA,NA,0.124,8.78,5.61,NA,NA,NA,,,NA,NA,NA,,,,NA,NA,NA,,,,NA
EG749_21,LD749_21,CL215_21,E017_M,delicata,CORT_28_10pg_Topical,28,high,1,ALIVE,22/2/04,,2021/22,1/1/22,1,34,35,154,119,0.152,8.46,6.22,0.111,18,24,,3/6/22,3.2,4.45,0.508,,LD749_21,,NA,NA,NA,,,,
EG757_21,LD757_21,CL217_21,E014_M,delicata,CORT_28_10pg_Topical,28,high,0,DEAD,22/2/03,3/2/22,2021/22,1/1/22,1,33,34,154,120,0.105,8.48,5.05,0.106,16,24,,,NA,NA,NA,,LD757_21,,NA,NA,NA,,,died after hatching; 3/2/22,died after hatching; 3/2/22
EG728_21,LD728_21,CL210_21,E001_F120,delicata,CORT_28_5pg_Topical,28,low,1,ALIVE,22/2/03,,2021/22,1/1/22,1,33,34,154,120,0.131,8.46,5.67,0.114,17,23,,3/6/22,3.5,4.1,0.535,tail fell off,LD728_21,10/8/22,3.7,3.1,0.631,missing tail tip,DCL,,
EG736_21,LD736_21,CL212_21,E025_M,delicata,CORT_28_5pg_Topical,28,low,1,ALIVE,22/2/01,,2021/22,1/1/22,1,31,32,154,122,0.164,7.61,6.67,0.138,19,26,,3/6/22,2.9,4.8,0.485,,LD736_21,10/8/22,3.3,4.8,0.639,,PR,,
EG742_21,LD742_21,CL213_21,E026_M,delicata,CORT_28_5pg_Topical,28,low,1,ALIVE,22/2/03,,2021/22,1/1/22,1,33,34,154,120,0.184,8.6,6.57,0.136,17,28,,3/6/22,2.8,4.2,0.451,,LD742_21,10/8/22,3,4.4,0.51,,PR,,
EG755_21,LD755_21,CL216_21,E014_M,delicata,CORT_28_5pg_Topical,28,low,1,ALIVE,22/2/02,,2021/22,1/1/22,1,32,33,154,121,0.171,9.07,6.25,0.129,19,21,,3/6/22,3.25,4.8,0.603,,LD755_21,10/8/22,3.8,6.3,0.899,,DCL,,
EG758_21,LD758_21,CL217_21,E014_M,delicata,CORT_28_5pg_Topical,28,low,1,ALIVE,22/2/04,,2021/22,1/1/22,1,34,35,154,119,0.11,7.78,5.23,0.101,17,24,,3/6/22,2.9,4.3,0.452,,LD758_21,10/8/22,3.2,4.3,0.709,,PR,,
EG764_21,LD764_21,CL218_21,E025_M,delicata,C_23_Topical,23,control,1,ALIVE,22/2/24,,2021/22,5/1/22,5,50,55,154,99,0.139,8.08,5.94,0.127,18,27,,3/6/22,2.8,3.7,0.409,,LD764_21,,NA,NA,NA,,,,
EG769_21,LD769_21,CL219_21,E004_F120,delicata,C_23_Topical,23,control,1,ALIVE,22/2/21,,2021/22,5/1/22,5,47,52,154,102,0.19,9.9,6.16,0.142,18,27,,3/6/22,3,4.6,0.502,,LD769_21,10/8/22,3.4,3.3,0.668,missing tail tip,DCL,,
EG775_21,LD775_21,CL220_21,E019_M,delicata,C_23_Topical,23,control,1,ALIVE,22/2/20,,2021/22,5/1/22,5,46,51,154,103,0.165,8.11,6.32,0.122,16,23,,3/6/22,2.7,3.5,0.35,,LD775_21,10/8/22,2.7,3.8,0.4,,PR,,
EG770_21,LD770_21,CL219_21,E004_F120,delicata,C_28_Topical,28,control,1,ALIVE,22/2/03,,2021/22,5/1/22,5,29,34,154,120,0.152,8.15,6.04,0.102,18,27,,3/6/22,2.9,4.6,0.569,,LD770_21,10/8/22,3.7,6.1,0.825,,DCL,,
EG778_21,?,CL220_21,E019_M,delicata,C_28_Topical,28,control,1,ALIVE,,,2021/22,5/1/22,5,NA,NA,NA,NA,0.151,7.73,6.17,NA,NA,NA,,,NA,NA,NA,,?,,NA,NA,NA,,,,
EG767_21,LD767_21,CL219_21,E004_F120,delicata,CORT_23_10pg_Topical,23,high,1,ALIVE,22/2/24,,2021/22,5/1/22,5,50,55,154,99,0.177,9.16,6.25,0.122,16,25,,3/6/22,3,4.2,0.422,,LD767_21,,NA,NA,NA,,,,
EG765_21,LD765_21,CL218_21,E025_M,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/24,,2021/22,5/1/22,5,50,55,154,99,0.156,8.63,5.63,0.136,18,27,,3/6/22,3,4.4,0.482,,LD765_21,10/8/22,3.1,4.3,0.603,,PR,,
EG768_21,LD768_21,CL219_21,E004_F120,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/21,,2021/22,5/1/22,5,47,52,154,102,0.182,9.24,6,0.138,18,23,,3/6/22,3,4.95,0.558,,LD768_21,,NA,NA,NA,,,,
