Egg_ID,bd_liz_id,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,mortality,liz_status,season,date_egg_laid_(day/m/year)),date_egg_laid_(year/m/day),hatch_date_(year/m/day),Hatch_data_(day/m/year),egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,X.reduction,bd_mass_orig,bd_svl_orig_mm,bd_tail_orig_mm,bd_totl_orig,notes,feeding_expt,metabolism,behaviour,feed_date_start,metab_start_date,growth,albumin,
EG051_20,NA,,,,CL016_20,E022_M,NA,,delicata,A-28,1,DEAD,2020/21,,20/10/25,,,0.186,9.03,6.41,0.165,0.112903226,,,,,"mostly water, bit of yolk; Died 29/10/20, dissected and no embryo",NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG052_20,LG052_20,"""2000""",Box 1.28,f,CL017_20,E001_M,NA,E058_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/25,20/11/25,,0.199,9.43,6.37,0.173,0.130653266,0.156,19.773,NA,NA,"mostly water, bit of yolk, photo with LD not LG, tail tip is invisible",1,1,0,14/1/00,28/1/00,11/2/00,0,
EG053_20,LG053_20,"""(2345)(345)2(123)""",Box 1.23,m,CL017_20,E001_M,NA,E066,guichenoti,A-23,0,ALIVE,2020/21,,20/10/25,20/12/13,,0.189,8.75,6.34,0.163,0.137566138,0.122,19.444,23.726,43.17,,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG054_20,LG054_20,"""(All)(All)(235)1""",Box 1.23,m,CL017_20,E001_M,NA,E005_F120,guichenoti,C-28,0,ALIVE,2020/21,,20/10/25,20/11/24,,0.195,8.68,6.58,NA,NA,0.136,18.523,26.398,44.921,,1,1,0,14/1/00,28/1/00,11/2/00,0,
EG055_20,LG055_20,"""(345)(345)5(35)""",Box 1.24,m,CL018_20,E002_M,NA,E067,guichenoti,C-28,0,ALIVE,2020/21,,20/10/25,20/11/26,,0.196,9.39,6.14,NA,NA,0.176,20.977,28.197,49.174,,1,1,1,14/1/00,28/1/00,11/2/00,0,
EG056_20,LG056_20,"""(345)(345)0(34)""",Box 1.23,m,CL018_20,E002_M,NA,E011_F120,guichenoti,A-23,0,ALIVE,2020/21,,20/10/25,20/12/16,,0.208,9.54,6.34,0.175,0.158653846,0.141,20.422,26.645,47.067,perfect extraction of yolk,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG057_20,,?,,,CL018_20,E002_M,NA,,guichenoti,A-28,1,UNKNOWN,2020/21,,20/10/25,,,0.217,10.29,6.09,0.195,0.101382488,,,,,Nice and yolky; but looks like possible embryo extraction; Mistake. Did not die!! Just forgot to put in tub as I was rushing. Exclude this,0,0,0,14/1/00,28/1/00,11/2/00,0,
EG058_20,LD058_20,"""5550""",Box 1.23,m,CL019_20,E015_M,NA,E008_F120,delicata,A-28,0,ALIVE,2020/21,,20/10/27,20/11/24,,0.189,9.09,6.29,0.163,0.137566138,0.088,NA,NA,NA,"Yolk, good extraction, no scale in the photo",1,1,1,14/1/00,28/1/00,11/2/00,0,
EG059_20,LD059_20,"""0404""",Box 1.23,,CL019_20,E015_M,NA,E004_F120,delicata,C-28,0,ALIVE,2020/21,,20/10/27,20/11/24,,0.185,9.46,6.2,NA,NA,0.117,18.795,23.113,41.908,,1,1,0,14/1/00,28/1/00,11/2/00,0,
EG060_20,LD060_20,"""4440""",Box 1.23,f,CL019_20,E015_M,NA,E007_F120,delicata,A-23,0,ALIVE,2020/21,,20/10/27,20/12/12,,0.166,9.04,5.89,0.146,0.120481928,0.102,18.026,22.06,40.086,Very watery,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG061_20,LD061_20,"""0045""",Box 1.24,f,CL020_20,E024_M,NA,E018_F120,delicata,A-28,0,ALIVE,2020/21,,20/10/27,20/11/25,,0.183,8.17,6.49,0.154,0.158469945,0.126,18.799,25.124,43.923,"Nicely yolky, perfect extraction",1,1,1,14/1/00,28/1/00,11/2/00,0,
EG062_20,LD062_20,"""2333""",Box 1.23,,CL020_20,E024_M,NA,E004_F120,delicata,A-28,0,ALIVE,2020/21,,20/10/27,20/11/26,,0.173,8.36,6,0.151,0.12716763,0.126,18.244,24.807,43.051,"Nicely yolky, perfect extraction",1,1,0,14/1/00,28/1/00,11/2/00,0,
EG063_20,LD063_20,"""(25)242""",Box 1.26,f,CL020_20,E024_M,NA,E034_F120,delicata,A-23,0,ALIVE,2020/21,,20/10/27,20/12/13,,0.172,8.99,6.05,0.153,0.110465116,0.13,18.794,26.363,45.157,"Nicely yolky, perfect extraction",1,0,0,14/1/00,28/1/00,11/2/00,0,
EG064_20,LD064_20,"""4000""",Box 1.24,f,CL020_20,E024_M,NA,E020_F120,delicata,C-28,0,ALIVE,2020/21,,20/10/27,20/11/27,,0.166,8.35,6.49,NA,NA,0.131,18.88,28.375,47.255,,1,1,1,14/1/00,28/1/00,11/2/00,0,
EG065_20,LD065_20,"""1102""",Box 1.24,f,CL020_20,E024_M,NA,E020_F120,delicata,C-23,0,ALIVE,2020/21,,20/10/27,20/12/14,,0.171,8.48,6.31,NA,NA,0.146,19.364,26.081,45.445,,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG066_20,NA,,,,CL021_20,E004_M,NA,,guichenoti,A-28,1,DEAD,2020/21,,20/10/27,,,0.225,9.74,6.53,0.189,0.16,,,,,Very watery; egg die 30/11/2020,NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG067_20,LG067_20,"""5032""",Box 1.24,f,CL021_20,E004_M,NA,E012_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/27,20/11/27,,0.238,9.66,6.71,0.212,0.109243697,0.174,20.772,26.923,47.695,Very watery,1,1,1,14/1/00,28/1/00,11/2/00,0,
EG068_20,LG068_20,"""51(12)(All)""",Box 1.23,,CL021_20,E004_M,NA,E011_F120,guichenoti,C-28,0,ALIVE,2020/21,,20/10/27,20/11/27,,0.229,9.25,6.73,NA,NA,0.18,20.969,26.413,47.382,,1,1,1,14/1/00,28/1/00,11/2/00,0,
EG069_20,LG069_20,"""5022""",Box 1.23,,CL022_20,E050_M,NA,E011_F120,guichenoti,C-23,0,ALIVE,2020/21,,20/10/27,20/12/17,,0.18,10.28,5.58,NA,NA,0.165,20.914,26.974,47.888,,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG070_20,LG070_20,,,,CL022_20,E050_M,NA,,guichenoti,A-28,1,MISSING,2020/21,,20/10/27,20/11/28,,0.179,9.57,5.92,0.165,0.078212291,0.15,19.888,28.317,48.205,Perfect yolk extraction - PHOTO TAKEN ON IPHONE,1,1,0,14/1/00,28/1/00,11/2/00,0,
EG071_20,LG071_20,"""5550""",Box 1.26,m,CL022_20,E050_M,NA,E031_F120,guichenoti,A-23,0,ALIVE,2020/21,,20/10/27,20/12/16,,0.182,9.42,5.91,0.163,0.104395604,0.143,19.254,15.105,34.359,Perfect yolk extraction - PHOTO TAKEN ON IPHONE,1,0,0,14/1/00,28/1/00,11/2/00,0,
EG072_20,NA,,,,CL023_20,E028_M,NA,,delicata,A-28,1,DEAD,2020/21,,20/10/29,,,0.135,7.99,5.66,0.12,0.111111111,,,,,"ok, little yolk and water mix; died full form embryo 5/12/20",NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG073_20,LD073_20,"""5220""",Box 1.23,f,CL023_20,E028_M,NA,E007_F120,delicata,A-28,0,ALIVE,2020/21,,20/10/29,20/11/28,,0.131,7.65,5.71,0.119,0.091603053,0.106,18.885,25.449,44.334,perfect yolk extraction - PHOTO TAKEN ON IPHONE,1,1,1,14/1/00,28/1/00,11/2/00,0,
EG074_20,LD074_20,"""5400""",Box 1.24,f,CL023_20,E028_M,NA,E019_M,delicata,A-23,0,ALIVE,2020/21,,20/10/29,20/12/19,,0.128,7.87,5.52,0.114,0.109375,0.093,15.618,21.864,37.482,prefect yolk extraction,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG075_20,NA,,,,CL023_20,E028_M,NA,,delicata,A-23,1,DEAD,2020/21,,20/10/29,,,0.13,8.35,5.55,0.117,0.1,,,,,perfect yolk extraction - PHOTO TAKEN ON IPHONE; Died 5/11/20,NA,NA,NA,,,,0,
EG076_20,LD076_20,"""3302""",Box 1.24,f,CL023_20,E028_M,NA,E019_F120,delicata,C-23,0,ALIVE,2020/21,,20/10/29,20/12/18,,0.122,8.3,5.4,NA,NA,0.113,18.444,26.497,44.941,,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG077_20,LD077_20,"""50(35)(23)""",Box 1.23,,CL023_20,E028_M,NA,E004_F120,delicata,C-28,0,ALIVE,2020/21,,20/10/29,20/11/28,,0.131,7.66,5.57,NA,NA,0.12,18.623,24.522,43.145,,1,1,0,14/1/00,28/1/00,11/2/00,0,
EG078_20,NA,,,,CL024_20,E050_M,NA,,guichenoti,A-28,1,DEAD,2020/21,,20/10/29,,,0.133,8.5,5.37,0.12,0.097744361,,,,,"bad one possibly got emryo, but good yolk; egge died 21/2/21; embryo",0,0,0,14/1/00,28/1/00,11/2/00,0,
EG079_20,LG079_20,"""3300""",Box 1.28,m,CL024_20,E050_M,NA,,guichenoti,A-23,0,ALIVE,2020/21,,20/10/29,20/12/19,,0.147,8.72,5.65,0.131,0.108843537,0.102,17.352,21.132,38.484,perfect yolk extration,1,0,0,14/1/00,28/1/00,11/2/00,0,
EG080_20,LG080_20,"""(45)422""",Box 1.23,f,CL024_20,E050_M,NA,E005_F120,guichenoti,C-28,0,ALIVE,2020/21,,20/10/29,20/11/28,,0.147,8.72,5.74,NA,NA,0.12,19.319,24.013,43.332,,1,1,0,14/1/00,28/1/00,11/2/00,0,
EG081_20,LG081_20,"""4020""",Box 1.28,m,CL025_20,E054_M,NA,E058_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/29,20/12/01,,0.182,8.6,6.55,0.161,0.115384615,0.114,19.212,25.853,45.065,"ok extraction, bit of blood vessels, watery/yolk",1,0,0,14/1/00,28/1/00,11/2/00,0,
EG082_20,NA,,,,CL025_20,E054_M,NA,,guichenoti,A-28,1,DEAD,2020/21,,20/10/29,,,0.203,9.29,6.13,0.179,0.118226601,,,,,"good extraction; little blood vessel, but mostly good; died 5/11/20",NA,NA,NA,,,,0,
EG083_20,NA,,,,CL025_20,E054_M,NA,,guichenoti,A-23,1,DEAD,2020/21,,20/10/29,,,0.191,8.75,6.4,0.168,0.120418848,,,,,perfect yolk extraction; egg died 31/12/20,0,0,0,14/1/00,28/1/00,11/2/00,0,
EG084_20,LG084_20,"""1230""",Box 1.25,,CL025_20,E054_M,NA,E028_F120,guichenoti,C-23,0,ALIVE,2020/21,,20/10/29,20/12/25,,0.199,9.86,6.18,NA,NA,0.129,20.002,28.225,48.227,,0,0,1,14/1/00,28/1/00,11/2/00,0,
EG085_20,NA,,,,CL025_20,E054_M,NA,,guichenoti,C-28,1,DEAD,2020/21,,20/10/29,,,0.175,8.98,6.28,NA,NA,,,,,egg died 5/12/2020; full formed embryo,NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG086_20,NA,,,,CL025_20,E054_M,NA,,guichenoti,A-23,1,DEAD,2020/21,,20/10/29,,,0.179,9.1,6.12,0.155,0.134078212,,,,,"OK, yolk, but watery; egg die 24/11/2020",NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG087_20,LG087_20,"""4020""",Box 1.24,f,CL026_20,E055_M,NA,E016_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/29,20/12/01,,0.165,9.71,5.45,0.151,0.084848485,0.154,19.679,28.122,47.801,prefect yolk extraction,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG088_20,LG088_20,"""0050""",Box 1.25,m,CL026_20,E055_M,NA,E026_F120,guichenoti,A-23,0,ALIVE,2020/21,,20/10/29,20/12/21,,0.129,9.75,5,0.12,0.069767442,0.155,20.03,28.582,48.612,"maybe a different clutch; VERY dehydrated, may not survive, but perfect yolk extraction",0,0,1,14/1/00,28/1/00,11/2/00,0,
EG089_20,LG089_20,"""4032""",Box 1.23,,CL026_20,E055_M,NA,E011_F120,guichenoti,C-23,1,DEAD,2020/21,,20/10/29,20/12/21,,0.126,9.79,4.98,NA,NA,0.17,20.186,28.755,48.941,"maybe a different clutch; very dehydrates, probably same clutch as EG088; died 6/1/22",0,0,1,14/1/00,28/1/00,11/2/00,0,
EG090_20,LD090_20,"""1030""",Box 1.24,m,CL027_20,E025_M,NA,E018_F120,delicata,A-23,0,ALIVE,2020/21,,20/10/29,20/12/16,,0.156,8.72,5.95,0.138,0.115384615,0.098,16.592,22.638,39.23,Perfect yolk extraction!,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG091_20,LD091_20,"""03(35)0""",Box 1.23,,CL027_20,E025_M,NA,E004_F120,delicata,A-28,0,ALIVE,2020/21,,20/10/29,20/11/28,,0.153,8.4,6.11,0.124,0.189542484,0.088,17.968,22.971,40.939,Perfect yolk extraction!,1,1,0,14/1/00,28/1/00,11/2/00,0,
EG092_20,LD092_20,,,,CL027_20,E025_M,NA,,delicata,C-28,1,MISSING,2020/21,,20/10/29,20/11/28,,0.163,8.42,6.06,NA,NA,0.101,18.26,25.465,43.725,,1,1,0,14/1/00,28/1/00,11/2/00,0,
,LD093_20,"""5040""",Box 1.27,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG093_20,NA,,,,CL028_20,E010_M,NA,,delicata,A-28,1,DEAD,2020/21,,20/10/29,,,0.131,8.73,5.2,0.108,0.175572519,,,,,Perfect yolk extraction!; Died 2/11/20,0,0,0,,,,0,
EG094_20,LD094_20,"""30(35)0""",Box 1.23,f,CL028_20,E010_M,NA,E020_M,delicata,C-28,0,ALIVE,2020/21,,20/10/29,20/11/30,,0.132,8.72,5.66,NA,NA,0.114,19.586,25.912,45.498,,1,1,NA,14/1/00,28/1/00,11/2/00,0,
**,LD094_20,"""0505""",Box 1.26,f,NA,NA,NA,E033_F120,delicata,NA,0,ALIVE,2020/21,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate label. Unknown which LD094_20 is correct. Need to matc with genetics,,,,,,,,
EG095_20,LD095_20,,,,CL028_20,E010_M,NA,E045_F120,delicata,A-23,0,ALIVE,2020/21,,20/10/29,20/12/18,,0.126,8.73,5.36,0.112,0.111111111,0.098,16.703,20.851,37.554,Perfect yolk extraction!,1,0,0,14/1/00,28/1/00,11/2/00,0,
EG096_20,LD096_20,"""1001""",Box 1.27,f,CL028_20,E010_M,NA,E049_F120,delicata,C-23,0,ALIVE,2020/21,,20/10/29,20/12/18,,0.131,8.54,5.45,NA,NA,0.113,17.584,23.286,40.87,,1,0,0,14/1/00,28/1/00,11/2/00,0,
EG097_20,LG097_20,"""(345)42(35)""",Box 1.23,m,CL029_20,E055_M,NA,E011_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/31,20/12/02,,0.158,9.56,5.5,0.137,0.132911392,0.117,18.626,23.983,42.609,CL029 possibly 2 clutches; perfect yolk extraction,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG098_20,LG098_20,"""(45)(34)54""",Box 1.23,m,CL029_20,E055_M,NA,E005_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/31,20/12/02,,0.212,9.89,6.42,0.185,0.127358491,0.154,19.933,27.016,46.949,perfect yolk exttaction,1,1,0,14/1/00,28/1/00,11/2/00,0,
EG099_20,LG099_20,"""3204""",Box 1.28,m,CL029_20,E055_M,NA,E057_F120,guichenoti,A-23,0,ALIVE,2020/21,,20/10/31,20/12/24,,0.159,9.12,5.86,0.141,0.113207547,0.12,19.721,24.362,44.083,perfect yolk exttaction,0,0,0,14/1/00,28/1/00,11/2/00,0,
EG100_20,LG100_20,"""2(345)20""",Box 1.24,m,CL029_20,E055_M,NA,E030_F120,guichenoti,A-23,0,ALIVE,2020/21,,20/10/31,20/12/21,,0.192,8.42,6.6,0.168,0.125,0.13,19.363,23.505,42.868,perfect yolk exttaction,0,0,1,14/1/00,28/1/00,11/2/00,0,
EG101_20,LG101_20,"""5030""",Box 1.23,m,CL029_20,E055_M,NA,E009_F120,guichenoti,C-28,0,ALIVE,2020/21,,20/10/31,20/12/01,,0.18,8.19,6.29,NA,NA,0.126,16.912,23.351,40.263,,1,1,1,14/1/00,28/1/00,11/2/00,0,
EG102_20,LG102_20,"""3401""/""3300""",Box 1.23,,CL029_20,E055_M,NA,E009_F120,guichenoti,C-23,0,ALIVE,2020/21,,20/10/31,20/12/22,,0.169,8,6.1,NA,NA,0.129,19.344,25.289,44.633,,0,0,1,14/1/00,28/1/00,11/2/00,0,
EG103_20,LG103_20,"""3030""",Box 1.23,,CL029_20,E055_M,NA,E003_F120,guichenoti,A-28,1,DEAD,2020/21,,20/10/31,20/12/02,,0.167,9.3,5.75,0.149,0.107784431,0.127,19.32,25.364,44.684,perfect yolk exttaction,1,1,0,14/1/00,28/1/00,11/2/00,0,
EG104_20,LG104_20,"""3000""",Box 1.25,,CL030_20,E051_M,,E023_F120,guichenoti,A-23,0,ALIVE,2020/21,,20/10/31,20/12/23,,0.207,10.11,6.03,0.177,0.144927536,0.163,20.372,25.838,46.21,perfect yolk exttaction,0,0,1,14/1/00,28/1/00,11/2/00,0,
EG105_20,NA,,,,CL030_20,E051_M,,,guichenoti,A-28,1,DEAD,2020/21,,20/10/31,,,0.165,9.76,5.63,0.148,0.103030303,,,,,perfect yolk exttaction; died 5/11/20,NA,NA,NA,,,,0,
EG106_20,NA,,,,CL030_20,E051_M,,,guichenoti,C-23,1,DEAD,2020/21,,20/10/31,,,0.168,9.73,5.54,NA,NA,,,,,Died; 5/11/20,NA,NA,NA,,,,0,
EG107_20,NA,,,,CL030_20,E051_M,,,guichenoti,C-28,1,DEAD,2020/21,,20/10/31,,,0.172,9.18,5.96,NA,NA,,,,,Died: 8/11/20,NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG108_20,NA,,,,CL030_20,E051_M,,,guichenoti,A-28,1,DEAD,2020/21,,20/10/31,,,0.196,9.7,6.14,0.175,0.107142857,,,,,mostly perfect extraction; little bit of blood vessels; died 5/11/20,NA,NA,NA,,,,0,
EG109_20,LG109_20,"""3020""",Box 1.24,,CL030_20,E051_M,,E015_F120,guichenoti,A-23,1,DEAD,2020/21,,20/10/31,20/12/23,,0.155,9.85,5.43,0.14,0.096774194,0.152,19.588,24.931,44.519,"perfect yolk exttaction, died 18/8/21",0,0,1,14/1/00,28/1/00,11/2/00,0,
EG110_20,LG110_20,"""2230""",Box 1.23,f,CL031_20,E053_M,,E003_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/31,20/12/02,,0.221,9.91,6.55,0.188,0.149321267,0.153,19.982,28.946,48.928,perfect yolk exttaction; pulled to 2cc mark,1,1,0,14/1/00,28/1/00,11/2/00,0,
EG111_20,LG111_20,"""5500""",Box 1.24,f,CL031_20,E053_M,,E016_F120,guichenoti,A-23,0,ALIVE,2020/21,,20/10/31,20/12/21,,0.161,8,6.32,0.142,0.118012422,0.122,19.078,23.579,42.657,perfect yolk exttaction,0,0,1,14/1/00,28/1/00,11/2/00,0,
EG112_20,LG112_20,"""0550""",Box 1.24,,CL031_20,E053_M,,E017_F120,guichenoti,A-23,0,ALIVE,2020/21,,20/10/31,20/12/23,,0.229,9.61,6.74,0.203,0.113537118,0.166,19.986,28.232,48.218,perfect yolk exttaction,0,0,1,14/1/00,28/1/00,11/2/00,0,
EG113_20,LG113_20,"""3330""",Box 1.24,f,CL031_20,E053_M,,E016_F120,guichenoti,C-23,0,ALIVE,2020/21,,20/10/31,20/12/20,,0.172,8,6.53,NA,NA,0.121,17.889,25.818,43.707,,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG114_20,LG114_20,"""(45)320""",Box 1.23,f,CL031_20,E053_M,NA,E006_F120,guichenoti,C-28,0,ALIVE,2020/21,,20/10/31,20/12/01,,0.165,8.44,6.16,NA,NA,0.124,18.984,26.954,45.938,,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG115_20,LG115_20,"""0045""",Box 1.24/1.26,f,CL032_20,E052_M,,E032_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/31,20/12/01,,0.189,8.47,6.55,0.164,0.132275132,0.13,19.067,24.299,43.366,perfect yolk exttaction,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG116_20,NA,,,,CL032_20,E052_M,,,guichenoti,A-23,1,DEAD,2020/21,,20/10/31,,,0.191,8.67,6.73,0.169,0.115183246,,,,,"OK, but got some blood vesels; died, fully formed embryo late stage 16/01/21",0,0,0,14/1/00,28/1/00,11/2/00,0,
EG117_20,LG117_20,"""0054""",Box 1.28,f,CL032_20,E052_M,,E054_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/31,20/12/01,,0.187,8.45,6.81,0.165,0.117647059,0.132,18.613,25.192,43.805,perfect yolk exttaction,1,0,0,14/1/00,28/1/00,11/2/00,0,
EG118_20,LG118_20,"""3041""",Box 1.24,m,CL032_20,E052_M,,E015_F120,guichenoti,C-23,0,ALIVE,2020/21,,20/10/31,20/12/22,,0.188,8.44,6.36,NA,NA,0.148,19.76,24.01,43.77,,0,0,1,14/1/00,28/1/00,11/2/00,0,
EG119_20,LG119_20,"""3(234)22""",Box 1.23,f,CL033_20,E006_M,NA,E006_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/31,20/12/01,,0.257,10.57,6.81,0.222,0.13618677,0.163,20.342,26.022,46.364,perfect yolk exttaction,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG120_20,LG120_20,"""4052""",Box 1.23,m,CL033_20,E006_M,,E005_F120,guichenoti,C-28,0,ALIVE,2020/21,,20/10/31,20/12/02,,0.239,10,6.58,NA,NA,0.171,20.838,24.535,45.373,,1,1,0,14/1/00,28/1/00,11/2/00,0,
EG121_20,LG121_20,"""(12)(345)(345)5""",Box 1.23,f,CL033_20,E006_M,NA,E011_F120,guichenoti,A-23,0,ALIVE,2020/21,,20/10/31,20/12/19,,NA,NA,NA,NA,,0.169,19.856,22.553,42.409,,1,0,1,,,,0,
EG121_20**,LG121_20**,"""(34)040""",Box 1.23,m,CL033_20,E006_M,,E005_F120,guichenoti,A-23,0,ALIVE,2020/21,,20/10/31,20/12/03,,0.237,10.33,6.34,0.207,0.126582278,0.139,19.874,27.118,46.992,"perfect yolk exttaction ** NOTE. This cannot be 121_20, as on 19/12/20 this egg hatched. This must be a number mix up. THe real 121_20 data is inserted below",1,1,0,14/1/00,28/1/00,11/2/00,0,
EG122_20,LG122_20,"""034(12)""",Box 1.24,f,CL034_20,E003_M,,E012_F120,guichenoti,A-28,0,ALIVE,2020/21,,20/10/31,20/12/04,,0.17,9.86,5.6,0.148,0.129411765,0.148,20.121,26.786,46.907,Not best; mostly albumin/watery but some yolk,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG123_20,EG121_20**,,,,CL034_20,E003_M,,,guichenoti,C-28,0,ALIVE,2020/21,,20/10/31,,,0.168,10.48,5.52,NA,NA,,,,Probably is 121**,,0,0,0,14/1/00,28/1/00,11/2/00,0,
EG124_20,LD124_20,,Box 1.20,,CL035_20,E021_M,,,delicata,A-28,1,DEAD,2020/21,,20/10/31,20/11/29,,0.156,8.97,5.82,0.132,0.153846154,0.088,16.979,19.576,36.555,Not best; albumin mostly; Died after hatching2/12/20,NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG125_20,NA,,,,CL035_20,E021_M,,,delicata,A-23,1,DEAD,2020/21,,20/10/31,,,0.18,8.95,6.21,0.158,0.122222222,,,,,"Not best; albumin mostly, but got some yolk; egg died 29/12/20",NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG126_20,LD126_20,"""4005""",Box 1.27,f,CL035_20,E021_M,NA,E044_F120,delicata,C-23,0,ALIVE,2020/21,,20/10/31,20/12/19,,0.187,8.44,6.34,NA,NA,0.131,17.061,24.792,41.853,For a while in enclosure E043,1,0,0,14/1/00,28/1/00,11/2/00,0,
EG127_20,LD127_20,"""0005""",Box 1.26,f,CL036_20,E029_M,,E040_F120,delicata,A-28,0,ALIVE,2020/21,2/11/20,20/11/02,20/12/03,,0.16,8.72,5.73,0.144,0.1,0.102,17.971,23.617,41.588,perfect yolk exttaction,1,0,0,14/1/00,28/1/00,11/2/00,0,
EG128_20,NA,,,,CL036_20,E029_M,,,delicata,A-23,1,DEAD,2020/21,2/11/20,20/11/02,,,0.174,8.86,6.09,0.151,0.132183908,,,,,perfect yolk exttaction; egg die 18/11,NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG129_20,LD129_20,,Box 1.22,,CL036_20,E029_M,,,delicata,C-23,1,DEAD,2020/21,2/11/20,20/11/02,20/12/21,,0.168,8.92,5.98,NA,NA,0.131,18.99,25.421,44.411,perfect yolk exttaction; baby died 28/12,0,0,0,14/1/00,28/1/00,11/2/00,0,
EG130_20,LD130_20,"""4000""",Box 1.26,m,CL036_20,E029_M,,E036_F120,delicata,C-28,0,ALIVE,2020/21,2/11/20,20/11/02,20/12/02,,0.18,8.56,6.28,NA,NA,0.131,19.544,26.117,45.661,,1,0,0,14/1/00,28/1/00,11/2/00,0,
EG131_20,NA,,,,CL037_20,E011_M,,,delicata,A-23,1,DEAD,2020/21,2/11/20,20/11/02,,,0.181,9.22,6.04,0.163,0.099447514,,,,,watery with bit of red blood cells; egg died 14 Jan 21,0,0,0,14/1/00,28/1/00,11/2/00,0,
EG132_20,LD132_20,"""0022""",Box 1.26,f,CL037_20,E011_M,,E049_F120,delicata,C-28,0,ALIVE,2020/21,2/11/20,20/11/02,20/11/30,,0.191,9.97,5.85,NA,NA,0.125,19.46,27.612,47.072,,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG133_20,LD133_20,"""3300""",Box 1.23,,CL037_20,E011_M,,E001_F120,delicata,A-28,0,ALIVE,2020/21,2/11/20,20/11/02,20/11/30,,0.192,9.26,6.12,0.167,0.130208333,0.111,18.615,24.928,43.543,"yolk, but little watery",1,1,0,14/1/00,28/1/00,11/2/00,0,
EG134_20,NA,,,,CL038_20,E052_M,,,guichenoti,A-28,1,DEAD,2020/21,2/11/20,20/11/02,,,0.173,10.06,5.44,0.15,0.132947977,,,,,perfect yolk exttaction; egg die 16/11,NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG135_20,LG135_20,"""3005""",Box 1.24,,CL038_20,E052_M,,E017_F120,guichenoti,C-28,0,ALIVE,2020/21,2/11/20,20/11/02,20/12/06,,0.168,9.83,5.4,NA,NA,0.149,19.318,28.362,47.68,,1,0,1,14/1/00,28/1/00,11/2/00,0,
EG136_20,NA,,,,CL039_20,E052_M,,,guichenoti,A-28,1,DEAD,2020/21,2/11/20,20/11/02,,,0.235,9.2,6.86,0.2,0.14893617,,,,,"yolk, but some vessels; egg die 11/11",NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG137_20,LG137_20,"""5500""",Box 1.26,m,CL039_20,E052_M,,E032_F120,guichenoti,A-23,0,ALIVE,2020/21,2/11/20,20/11/02,20/12/23,,0.212,8.93,6.68,0.183,0.136792453,0.135,19.971,27.725,47.696,perfect yolk exttaction,0,0,0,14/1/00,28/1/00,11/2/00,0,
EG138_20,NA,,,,CL039_20,E052_M,,,guichenoti,C-23,1,DEAD,2020/21,2/11/20,20/11/02,,,0.216,9.6,6.59,NA,NA,,,,,egg die 18/11,NA,NA,NA,14/1/00,28/1/00,11/2/00,0,
EG139_20,LG139_20,"""(345)440""",Box 1.23,f,CL040_20,E054_M,NA,E006_F120,guichenoti,C-28,0,ALIVE,2020/21,2/11/20,20/11/02,20/12/04,,0.194,9.6,5.86,NA,NA,0.178,20.715,30.688,51.403,,1,0,1,14/1/00,28/1/00,11/2/00,0,
