Egg_ID,bd_liz_id,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,mortality,liz_status,season,date_egg_laid_(day/m/year)),date_egg_laid_(year/m/day),hatch_date_(year/m/day),Hatch_data_(day/m/year),egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,X.reduction,bd_mass_orig,bd_svl_orig_mm,bd_tail_orig_mm,bd_totl_orig,notes,feeding_expt,metabolism,behaviour,feed_date_start,metab_start_date,growth,albumin,
EG013,LG010,"""0403""",Box 1.21,m,CL008,E2,E003_M,E003_M/E005_M,guichenoti,C-23,0,ALIVE,2019/20,,19/11/18,20/1/06,,0.164,8.23,6.07,NA,20/1/06,0.138,18.746,25.747,44.493,,NA,NA,NA,NA,NA,NA,0,
EG112,LD590,NA,,,CL43,E6,NA,,delicata,A-28,1,DEAD,2019/20,,19/12/01,20/1/01,,0.115,8.07,5.06,0.1,20/1/01,0.067,15.478,21.204,36.682,good one; yolk,NA,NA,NA,NA,NA,NA,0,
EG041,LD577,NA,,NA,CL021,E14,NA,,delicata,A-28,0,MISSING,2019/20,,19/11/22,19/12/21,,0.116,9.11,4.49,0.096,19/12/21,0.083,16.954,20.916,37.87,eggs stuck together,NA,NA,NA,NA,NA,NA,0,
EG136,LD596,NA,,NA,CL52,E14,NA,,delicata,A-28,0,MISSING,2019/20,,19/12/08,20/1/06,,0.102,7.78,5.11,0.081,20/1/06,0.08,16.972,20.781,37.753,all yolk; perfect,NA,NA,NA,NA,NA,NA,0,
EG002,NA,NA,,NA,CL001,E13,NA,,delicata,A-28,1,NA,2019/20,,19/11/11,NA,,0.1,8.26,4.64,0.077,NA,NA,NA,NA,NA,take out 0.02 ml,NA,NA,NA,NA,NA,NA,0,
EG024,NA,NA,,NA,CL014,E13,NA,,delicata,A-28,1,NA,2019/20,,19/11/20,NA,,0.139,8.53,5.66,0.109,NA,NA,NA,NA,NA,bit more watery than want,NA,NA,NA,NA,NA,NA,0,
EG026,NA,NA,,NA,CL016,E14,NA,,delicata,A-28,1,NA,2019/20,,19/11/20,NA,,0.154,8.89,5.78,0.12,NA,NA,NA,NA,NA,note may have accidently got embryo; little yolk mostly water,NA,NA,NA,NA,NA,NA,0,
EG048,NA,NA,,NA,CL023,E8,NA,,delicata,A-28,1,NA,2019/20,,19/11/24,NA,,0.134,8.55,4.89,0.123,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,
EG057,NA,NA,,NA,CL027,E6,NA,,delicata,A-28,1,NA,2019/20,,19/11/24,NA,,0.133,8.77,5,0.107,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,
EG062,NA,NA,,NA,CL029,E15,NA,,delicata,A-28,1,NA,2019/20,,19/11/24,NA,,0.106,7.88,4.87,0.089,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,
EG066,NA,NA,,NA,CL30,E7,NA,,delicata,A-28,1,NA,2019/20,,19/11/24,NA,,0.123,7.35,5.49,0.093,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,
EG090,NA,NA,,NA,CL37,E13,NA,,delicata,A-28,1,NA,2019/20,,19/11/27,NA,,0.114,8.66,4.75,0.096,NA,NA,NA,NA,NA,most likely multiple clutches but all eggs laid close together; died 19 Jan 2020,NA,NA,NA,NA,NA,NA,0,
EG092,NA,NA,,NA,CL37,E13,NA,,delicata,A-28,1,NA,2019/20,,19/11/27,NA,,0.096,7.6,4.71,0.075,NA,NA,NA,NA,NA,most likely multiple clutches but all eggs laid close together,NA,NA,NA,NA,NA,NA,0,
EG094,NA,NA,,NA,CL37,E13,NA,,delicata,A-28,1,NA,2019/20,,19/11/27,NA,,0.099,7.44,4.29,0.084,NA,NA,NA,NA,NA,most likely multiple clutches but all eggs laid close together,NA,NA,NA,NA,NA,NA,0,
EG096,NA,NA,,NA,CL38,E6,NA,,delicata,A-28,1,NA,2019/20,,19/11/27,NA,,0.109,8.1,4.61,0.088,NA,NA,NA,NA,NA,eggs together,NA,NA,NA,NA,NA,NA,0,
EG113,NA,NA,,NA,CL44,E13,NA,,delicata,A-28,1,NA,2019/20,,19/12/03,NA,,0.126,7.54,5.11,0.103,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,
EG122,NA,NA,,NA,CL47,E14,NA,,delicata,A-28,1,NA,2019/20,,19/12/05,NA,,0.139,8.07,5.19,0.119,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,
EG142,NA,NA,,NA,CL53,E13,NA,,delicata,A-28,1,NA,2019/20,,19/12/08,NA,,0.132,7.55,5.68,0.11,NA,NA,NA,NA,NA,all yolk; perfect,NA,NA,NA,NA,NA,NA,0,
EG159,NA,NA,,NA,CL60,E17,NA,,delicata,A-28,1,NA,2019/20,,19/12/19,NA,,0.141,9.48,5.79,0.129,NA,NA,NA,NA,NA,very shriveled egg;possibly removed yolk; died 19 Jan 2020,NA,NA,NA,NA,NA,NA,0,
EG166,NA,NA,,NA,CL63,E50,NA,,delicata,A-28,1,NA,2019/20,,20/1/09,NA,,0.124,7.31,4.75,0.1,NA,NA,NA,NA,NA,same tub but three separate clutches by the looks of it,NA,NA,NA,NA,NA,NA,0,
EG174,NA,NA,,NA,CL66,E59,NA,,delicata,A-28,1,NA,2019/20,,20/1/09,NA,,0.119,8.01,5.1,0.117,NA,NA,NA,NA,NA,same tub but three separate clutches by the looks of it,NA,NA,NA,NA,NA,NA,0,
EG144,LG009,"""3005""",Box 1.21,f,CL54,E16,E001_M,,guichenoti,C-28,0,ALIVE,2019/20,,19/12/08,20/1/06,,0.085,8.71,4.67,NA,20/1/06,0.113,16.512,21.695,38.207,shrivelled a bit,NA,NA,NA,NA,NA,NA,0,
EG005,LG008,"""5400""",Box 1.21,m,CL002,E4,E005_M,E003_M/E005_M,guichenoti,A-23,0,ALIVE,2019/20,,19/11/11,20/1/01,,0.124,8.1,5.46,0.103,20/1/01,0.096,17.034,19.948,36.982,,NA,NA,NA,NA,NA,NA,0,
EG106,LG007,"""0300""",Box 1.21,f,CL41,E10,E001_M,,guichenoti,C-28,1,DEAD,2019/20,,19/12/01,20/1/01,,0.17,8.54,5.96,NA,20/1/01,0.137,18.2,27.632,45.832,Died 10/11/21,NA,NA,NA,NA,NA,NA,0,
EG085,LG006,"""1041""",Box 1.21,m,CL36,E1,E006_M,E002_M,guichenoti,A-28,0,ALIVE,2019/20,,19/11/26,19/12/29,,0.24,10.54,5.97,0.204,19/12/29,0.182,19.898,25.048,44.946,,NA,NA,NA,NA,NA,NA,0,
EG086,LG005,"""2005""",Box 1.21,f,CL36,E1,E004_M,E004_M,guichenoti,C-28,0,ALIVE,2019/20,,19/11/26,19/12/29,,0.232,9.94,6.49,NA,19/12/29,0.196,19.308,26.453,45.761,,NA,NA,NA,NA,NA,NA,0,
EG051,LG004,"""0302""",Box 1.21,f,CL024,E10,E003_M,E003_M/E005_M,guichenoti,C-28,0,ALIVE,2019/20,,19/11/24,19/12/29,,0.16,9.6,5.14,NA,19/12/29,0.164,19.807,30.82,50.627,,NA,NA,NA,NA,NA,NA,0,
EG015,LG002,"""4000""",Box 1.21,m,CL010,E5,E001_M,,guichenoti,C-28,0,ALIVE,2019/20,,19/11/18,19/12/20,,0.142,8.75,4.83,NA,19/12/20,0.144,18.449,25.961,44.41,possible injury to the head,NA,NA,NA,NA,NA,NA,0,
EG009,LG001,"""5100""",Box 1.21,f,CL006,E11,E005_M,E003_M/E005_M,guichenoti,A-28,0,ALIVE,2019/20,,19/11/15,19/12/19,,0.179,NA,NA,0.144,19/12/19,0.12,NA,NA,NA,Ablated but mostly water it appears,NA,NA,NA,NA,NA,NA,0,
EG186,LD650,"""2001""",Box 1.21,f,CL69,E71,NA,,delicata,A-23,0,ALIVE,2019/20,,20/2/07,20/3/23,,0.125,8.43,4.93,0.097,20/3/23,0.091,18.479,21.196,NA,,NA,NA,NA,NA,NA,NA,0,
EG067,LD605,NA,,m,CL30,E7,NA,,delicata,C-23,0,ALIVE,2019/20,,19/11/24,20/1/09,,0.131,7.87,5.49,NA,20/1/09,0.097,18.241,23.061,41.302,,NA,NA,NA,NA,NA,NA,0,
EG188,LD648,"""0530""",Box 1.21,m,CL70,E13,E019_M,E009_M,delicata,C-28,0,ALIVE,2019/20,,20/2/07,20/3/09,,0.118,7.88,4.81,NA,20/3/09,0.111,18.162,27.647,NA,,NA,NA,NA,NA,NA,NA,0,
EG185,LD647,"""2003""",Box 1.21,f,CL69,E71,E011_M,,delicata,A-28,0,ALIVE,2019/20,,20/2/07,20/3/06,,0.125,8.31,5.14,0.115,20/3/06,0.107,17.294,22.986,37.879,,NA,NA,NA,NA,NA,NA,0,
EG190,LD646,"""5(34)(234)0""",Box 1.21,m,CL70,E13,E010_M,E010_M,delicata,A-28,0,ALIVE,2019/20,,20/2/07,20/3/07,,0.12,8.28,5.28,0.102,20/3/07,0.085,18.874,24.173,52.576,,NA,NA,NA,NA,NA,NA,0,
EG180,LD645,"""(23)(34)35""",Box 1.21,m,CL67,E50,E009_M,E009_M,delicata,A-23,0,ALIVE,2019/20,,20/1/15,20/3/02,,0.122,7.95,5.43,0.11,20/3/02,0.113,17.044,20.832,37.876,,NA,NA,NA,NA,NA,NA,0,
EG129,LD623,NA,,m,CL49,E8,NA,,delicata,C-23,0,ALIVE,2019/20,,19/12/08,20/1/21,,0.136,7.64,5.84,NA,20/1/21,0.096,15.888,19.987,35.875,,NA,NA,NA,NA,NA,NA,0,
EG139,LD625,NA,,m,CL52,E14,NA,,delicata,C-23,0,ALIVE,2019/20,,19/12/08,20/1/25,,0.099,8.02,4.74,NA,20/1/25,0.101,16.379,24.101,40.48,relook at the photos on the camera to get an idea (these length measurements are for LD625 (19/4/20),NA,NA,NA,NA,NA,NA,0,
EG172,LD644,"""5220""",Box 1.21,f,CL65,E59,E013_M,E013_M,delicata,C-23,0,ALIVE,2019/20,,20/1/09,20/2/25,,0.118,8.03,5.21,NA,20/2/25,0.113,17.842,24.527,42.369,same tub but three separate clutches by the looks of it,NA,NA,NA,NA,NA,NA,0,
EG163,LD642,"""4330""",Box 1.21,f,CL63,E50,E009_M,E009_M,delicata,A-23,0,ALIVE,2019/20,,20/1/09,20/2/25,,0.129,7.68,5.75,0.098,20/2/25,0.099,16.8,21.14,37.94,,NA,NA,NA,NA,NA,NA,0,
EG164,LD643,NA,,m,CL63,E50,NA,,delicata,C-23,0,ALIVE,2019/20,,20/1/09,20/2/25,,0.124,8.11,5.28,NA,20/2/25,0.122,18.443,25.199,43.642,,NA,NA,NA,NA,NA,NA,0,
EG173,LD641,"""1030""",Box 1.21,m,CL66,E59,E016_M,,delicata,C-23,0,ALIVE,2019/20,,20/1/09,20/2/25,,0.125,8.18,5.46,NA,20/2/25,0.108,16.711,24.605,41.316,same tub but three separate clutches by the looks of it,NA,NA,NA,NA,NA,NA,0,
EG170,LD640,"""2333""",Box 1.21,m,CL65,E59,E008_M,,delicata,A-23,0,ALIVE,2019/20,,20/1/09,20/2/25,,0.132,8.71,5.24,0.105,20/2/25,0.107,17.81,22.272,40.082,same tub but three separate clutches by the looks of it,NA,NA,NA,NA,NA,NA,0,
EG168,LD638,"""4131""",Box 1.21,f,CL64,E59,E012_M,,delicata,C-23,0,ALIVE,2019/20,,20/1/09,20/2/22,,0.175,9.13,6.06,NA,20/2/22,0.139,18.48,25.477,43.957,same tub but three separate clutches by the looks of it,NA,NA,NA,NA,NA,NA,0,
EG182,LD637,"""(15)(25)(23)(23)""",Box 1.21,m,CL67,E50,E015_M,E015_M,delicata,C-23,0,ALIVE,2019/20,,20/1/15,20/2/19,,0.193,8.21,6.49,NA,NA,0.112,17.422,24.103,41.525,,NA,NA,NA,NA,NA,NA,0,
EG183,LD636,"""*2(35)(All)""",Box 1.21,f,CL67,E50,E013_M,E013_M,delicata,C-23,0,ALIVE,2019/20,,20/1/15,20/2/19,,0.204,8.3,6.24,NA,20/2/19,0.114,17.265,23.205,40.47,,NA,NA,NA,NA,NA,NA,0,
EG187,LD649,NA,,NA,CL69,E71,NA,,delicata,C-23,0,ALIVE,2019/20,,20/2/07,20/3/23,,0.123,8.08,5.27,NA,20/3/23,0.11,18.118,24.384,NA,,NA,NA,NA,NA,NA,NA,0,
