eggID,bd_liz_id,toeClip,sex,clutch,egg_encl_ID,species,trt,mortality,liz_status,season,date_egg_laid_.day.m.year..,date_egg_laid_.year.m.day.,hatch_date_.year.m.day.,Hatch_data_.day.m.year.,egg_mass,egg_length_mm,egg_width_mm,bd_svl_orig_mm,bd_tail_orig_mm,notes
EG1128,,,,CL305_21,E007_F120,delicata,T4_Low_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.187,8.71,6.45,NA,NA,
EG1129,,,,CL305_21,E007_F120,delicata,T4_High_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.184,8.02,6.51,NA,NA,
EG1130,,,,CL305_21,E007_F120,delicata,5%DMSO,1,ALIVE,2021/22,14/3/2022,,,,0.199,9.17,6.44,NA,NA,
EG1131,,,,CL305_21,E007_F120,delicata,T3_Low_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.182,8.57,6.64,NA,NA,
EG1132,,,,CL306_21,E026_M,delicata,T4_Low_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.133,7.24,5.89,NA,NA,
EG1133,,,,CL306_21,E026_M,delicata,T4_High_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.182,8.02,6.55,NA,NA,
EG1134,,,,CL306_21,E026_M,delicata,T3_Low_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.168,7.82,6.49,NA,NA,
EG1135,,,,CL306_21,E026_M,delicata,T3_High_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.153,8.12,6.07,NA,NA,
EG1136,,,,CL306_21,E026_M,delicata,5%DMSO,1,ALIVE,2021/22,14/3/2022,,,,0.168,7.62,6.77,NA,NA,
EG1137,,,,CL306_21,E026_M,delicata,5%DMSO,1,ALIVE,2021/22,14/3/2022,,,,0.168,7.41,6.63,NA,NA,
EG1138,,,,CL307_21,E025_M,delicata,5%DMSO,1,ALIVE,2021/22,14/3/2022,,,,0.133,7.13,5.99,NA,NA,
EG1139,,,,CL307_21,E025_M,delicata,T3_High_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.13,8.01,5.68,NA,NA,
EG1140,,,,CL307_21,E025_M,delicata,T3_Low_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.125,7.68,5.51,NA,NA,
EG1141,,,,CL307_21,E025_M,delicata,T4_Low_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.118,7.35,5.65,NA,NA,
EG1142,,,,CL307_21,E025_M,delicata,T4_High_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.131,7.37,5.82,NA,NA,
EG1143,,,,CL307_21,E025_M,delicata,T3_High_Topical,1,ALIVE,2021/22,14/3/2022,,,,0.117,7.84,5.37,NA,NA,
EG1144,,,,CL308_21,E019_M,delicata,5%DMSO,1,ALIVE,2021/22,15/3/2022,,,,0.128,8.12,5.29,NA,NA,
EG1145,,,,CL308_21,E019_M,delicata,T3_Low_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.139,9.47,5.39,NA,NA,
EG1146,,,,CL308_21,E019_M,delicata,T4_Low_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.155,9.17,5.6,NA,NA,
EG1147,,,,CL308_21,E019_M,delicata,T4_High_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.124,8.48,5.33,NA,NA,
EG1148,,,,CL308_21,E019_M,delicata,T3_Low_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.14,7.81,5.7,NA,NA,
EG1149,,,,CL308_21,E019_M,delicata,T3_High_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.123,8.68,5.02,NA,NA,
EG1150,,,,CL309_21,E014_M,delicata,T4_Low_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.145,8.72,5.59,NA,NA,
EG1151,,,,CL309_21,E014_M,delicata,T4_High_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.146,8.32,5.71,NA,NA,
EG1152,,,,CL309_21,E014_M,delicata,5%DMSO,1,ALIVE,2021/22,15/3/2022,,,,0.139,8.84,5.31,NA,NA,
EG1153,,,,CL309_21,E014_M,delicata,T3_Low_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.155,8.67,5.84,NA,NA,
EG1154,,,,CL309_21,E014_M,delicata,T3_High_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.149,9.11,5.64,NA,NA,
EG1155,,,,CL310_21,E027_M,delicata,T4_High_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.123,7.79,5.29,NA,NA,
EG1156,,,,CL310_21,E027_M,delicata,T4_Low_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.122,8.07,5.27,NA,NA,
EG1157,,,,CL310_21,E027_M,delicata,T3_Low_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.125,7.21,5.35,NA,NA,
EG1158,,,,CL310_21,E027_M,delicata,5%DMSO,1,ALIVE,2021/22,15/3/2022,,,,0.117,7.39,5.03,NA,NA,
EG1159,,,,CL311_21,E014_M,delicata,T3_Low_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.143,8.28,5.6,NA,NA,
EG1160,,,,CL311_21,E014_M,delicata,T4_Low_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.147,8.18,5.67,NA,NA,
EG1161,,,,CL311_21,E014_M,delicata,T4_High_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.181,8.53,6.34,NA,NA,
EG1162,,,,CL311_21,E014_M,delicata,T4_Low_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.165,9.37,5.59,NA,NA,
EG1163,,,,CL311_21,E014_M,delicata,T3_High_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.141,7.93,5.63,NA,NA,
EG1164,,,,CL311_21,E014_M,delicata,5%DMSO,1,ALIVE,2021/22,15/3/2022,,,,0.145,7.8,5.48,NA,NA,
EG1165,,,,CL311_21,E014_M,delicata,T4_High_Topical,1,ALIVE,2021/22,15/3/2022,,,,0.138,8.33,5.36,NA,NA,
